,UNIQUE-ID,ERXN-NUMBER,EC-NUMBER,SUBSTRATES,PRODUCTS,GIBBS
2468,RXN1G-27,['ENZRXN-15903'],['EC-4.2.1.M1'],['cis-delta5-3-hydroxylignoceroyl-ACPs'],"['trans-D2-cis-D5-lignoceroyl-ACPs', 'WATER']",22.705242
2469,RXN-12480,['ENZRXN0-6619'],['EC-2.1.1.223'],"['S-ADENOSYLMETHIONINE', 'Val-tRNA1-Adenine37']","['ADENOSYL-HOMO-CYS', 'Val-tRNA1-N6-MeAdenine37', 'PROTON']",-34.74228
2470,R15-RXN,"['ENZRXN0-7350', 'ENZRXN8J2-1925', 'ENZRXN-13678', 'ENZRXN-1462']",['EC-2.6.1.88'],"['MET', '2-Oxo-carboxylates']","['CPD-479', 'Amino-Acids-20']",-41.084457
2471,2.3.1.141-RXN,N/A,['EC-2.3.1.141'],"['SN-3-D-GALACTOSYL-SN-2-ACYLGLYCEROL', 'ACYL-ACP']","['ACP', 'D-Galactosyl-12-diacyl-glycerols']",-3.6100464
2472,RXN-9390,['ENZRXN-14991'],['EC-1.14.13.105'],"['Dihydrocarvones', 'NADPH', 'PROTON', 'OXYGEN-MOLECULE']","['4-isopropenyl-7-methyloxepan-2-one', 'NADP', 'WATER']",-93.320496
2473,RXN-20156,N/A,['EC-3.1.6.M3'],"['CPD-21751', 'WATER']","['CPD-21752', 'SULFATE', 'PROTON']",-51.991272
2474,RXN-13624,['ENZRXN-20740'],['EC-1.3.8'],"['Decanoyl-HmqF-Proteins', 'FAD', 'PROTON']","['23-dehydro-decanoyl-HmqF-Proteins', 'FADH2']",61.804565
2475,RXN-12954,"['ENZRXN3O-10544', 'ENZRXN-20674']",['EC-2.3.1.224'],"['COUMARYL-ALCOHOL', 'ACETYL-COA']","['CPD-12215', 'CO-A']",-3.6099854
2476,2.3.1.151-RXN,['ENZRXN-11723'],['EC-2.3.1.151'],"['PROTON', 'CPD-264', 'MALONYL-COA']","['CARBON-DIOXIDE', '2346-TETRAHYDROXYBENZOPHENONE', 'CO-A']",11.131836
2477,RXN-18468,['ENZRXN-25532'],['EC-1.3.1.118'],"['Meromycolyl-ACP', 'NAD']","['Trans-Delta2-meromycolyl-ACP', 'NADH', 'PROTON']",34.414062
2478,RXN-9908,['ENZRXN-15742'],['EC-1.14.15.26'],"['CPD-10654', 'OXYGEN-MOLECULE', 'Reduced-ferredoxins', 'PROTON']","['CPD-10659', 'Oxidized-ferredoxins', 'WATER']",-79.02524
2479,RXN-14881,N/A,N/A,['Dermatan-Sulfate'],"['CPD-12557', 'CPD-12515', 'SULFATE']",573.1781
2480,RXN1G-202,['ENZRXN1G-307'],['|EC-2.3.1.cv|'],"['cis-cis-D3-15-C34-2-ACPs', 'MALONYL-ACP', 'PROTON']","['cis-cis-D5-17-3-oxo-C36-2-ACPs', 'ACP', 'CARBON-DIOXIDE']",-6.862915
2481,ISOMALTULOSE-SYNTHASE-RXN,N/A,['EC-5.4.99.11'],['SUCROSE'],['CPD-230'],-3.6799927
2482,3.1.1.72-RXN,"['ENZRXN-19640', 'ENZRXN-18904', 'ENZRXN-18899']",['EC-3.1.1.72'],"['Acetylxylan', 'WATER']","['Xylans', 'ACET']",N/A
2483,RXN-13359,N/A,['EC-5.3.3'],['3S-all-trans-3-hydroxyretinol-RBPs'],['3S-11-cis-3-hydroxyretinol-RBPs'],0.
2484,RXN-17855,['ENZRXN-24935'],['EC-2.3.1.256'],"['L-methionyl-L-isoleucyl-Protein', 'ACETYL-COA']","['N-Ac-L-methionyl-L-isoleucyl-Protein', 'CO-A', 'PROTON']",-15.561096
2485,RXN-15373,"['ENZRXN-22646', 'ENZRXN-22645']",['EC-2.4.1'],"['CPD-16602', 'CPD-15283']","['CPD-16603', '4-hydroxybenzoate', 'PROTON']",0.34588623
2486,RXN-17987,['ENZRXN-25024'],['EC-4.2.1.M9'],['C9-Reduced-Nonaketamide-OxyC'],"['OxyC-monocyclic', 'WATER']",8.660522
2487,RXN-10623,N/A,['EC-2.5.1'],"['PROTON', 'OCTAPRENYL-DIPHOSPHATE', 'CPD-11420']","['CPD-12115', 'PPI', 'CARBON-DIOXIDE']",-16.385834
2488,RXN-5861,"['ENZRXN-23981', 'ENZRXN-23979', 'ENZRXN-13515', 'ENZRXN-20002', 'ENZRXN-19999', 'ENZRXN-19836']",N/A,"['TYR', 'OXYGEN-MOLECULE']",['L-DIHYDROXY-PHENYLALANINE'],-86.73999
2489,RXN1G-138,['ENZRXN1G-422'],['|EC-2.3.1.cu|'],"['cis-delta9-montanoyl-ACPs', 'MALONYL-ACP', 'PROTON']","['cis-delta11-3-oxo-melissoyl-ACPs', 'ACP', 'CARBON-DIOXIDE']",-6.862854
2490,RXN-18290,['ENZRXN-25359'],['EC-2.4.99.9'],"['CMP-N-ACETYL-NEURAMINATE', 'CPD-19631']","['CPD-7188', 'CMP', 'PROTON']",-156.19214
2491,RXN-11068,N/A,N/A,"['CPD-12019', 'Acceptor', 'WATER']","['CPD-12020', 'Donor-H2', 'PROTON']",N/A
