,entry,product
86,1.11.1.8,"['C16732', 'C16731', 'C16729', 'C16734', 'C16730', 'C00708', 'C16733', 'C16732', 'C16731']"
87,1.11.1.11,"['C00072', 'C05422', 'C01041', 'C00072', 'C01041']"
88,1.11.1.14,"['C02201', 'C01502', 'C00266', 'C21421', 'C21419', 'C21420']"
89,1.11.1.16,"['C00755', 'C01502', 'C00266', 'C21422']"
90,1.11.1.21,NA
91,1.13.11.12,"['C01595', 'C06427']"
92,1.13.11.16,"['C04479', 'C12624', 'C04044', 'C12623']"
93,1.13.11.18,"['C00051', 'C00094', 'C21787', 'C17267', 'C21787']"
94,1.13.11.34,"['C00909', 'C05356', 'C00219', 'C05356']"
95,1.13.11.51,"['C13453', 'C19812', 'C14045', 'C19811', 'C13433', 'C13431']"
96,1.13.11.52,"['C15605', 'C02700', 'C00525', 'C00078']"
97,1.13.11.64,"['C20366', 'C00088', 'C20367', 'C19789', 'C20367']"
98,1.13.11.77,"['C20702', 'C20703', 'C20704', 'C00712', 'C01595', 'C06427']"
99,1.13.11.84,"['C19730', 'C19731', 'C20894', 'C06098', 'C20894']"
100,1.13.12.5,['C00982']
101,1.13.12.24,"['C15037', 'C00076']"
102,1.14.11.21,"['C06657', 'C00042', 'C06659', 'C06660', 'C06656', 'C00026', 'C06658', 'C06659']"
103,1.14.11.25,"['C15501', 'C00042', 'C15502', 'C15500', 'C00026', 'C15485']"
104,1.14.11.27,"['C00042', 'C00067', 'C05544', 'C05545', 'C00026', 'C05544']"
105,1.14.11.36,"['C20397', 'C00042', 'C20398', 'C20399', 'C00026', 'C20398']"
106,1.14.11.43,"['C03359', 'C00022', 'C00042', 'C02625', 'C20686', 'C00026', 'C20687']"
107,1.14.11.44,"['C03359', 'C00022', 'C00042', 'C02625', 'C18608', 'C00026', 'C20685']"
108,1.14.12.19,"['C11588', 'C12623', 'C00423']"
109,1.14.13.39,"['C00327', 'C00533', 'C00062']"
110,1.14.13.50,"['C18933', 'C00698', 'C03434', 'C02575', 'C15505']"
111,1.14.13.54,"['C15506', 'C15507', 'C03027', 'C04676', 'C00280', 'C00033', 'C06479', 'C00410', 'C00280', 'C01176']"
112,1.14.13.81,"['C11831', 'C04536']"
113,1.14.13.105,"['C18027', 'C11414', 'C00843', 'C18019']"
114,1.14.13.106,"['C17954', 'C17953', 'C17955', 'C16269', 'C17953', 'C17955']"
115,1.14.13.107,NA
116,1.14.13.122,"['C16541', 'C02139']"
117,1.14.13.127,"['C04044', 'C12623', 'C11457', 'C12621']"
118,1.14.13.178,"['C07480', 'C00067', 'C16357', 'C16353', 'C07481', 'C07130', 'C13747']"
119,1.14.13.179,"['C16353', 'C00067', 'C00385', 'C07480', 'C16357']"
120,1.14.13.181,"['C12430', 'C01907', 'C12429', 'C12430']"
121,1.14.13.187,"['C20767', 'C20766', 'C20765', 'C20766']"
122,1.14.13.222,"['C21141', 'C21331', 'C21330', 'C21331']"
123,1.14.13.224,"['C21135', 'C21132', 'C21134', 'C21131']"
124,1.14.14.14,"['C00058', 'C03161', 'C05294', 'C05295', 'C00468', 'C05290', 'C00535', 'C03024', 'C05294', 'C05295', 'C00280', 'C05290', 'C05297']"
125,1.14.14.21,"['C21150', 'C21149', 'C20125', 'C01847', 'C21149']"
126,1.14.14.29,"['C15520', 'C03161', 'C15519', 'C03024']"
127,1.14.14.30,"['C21369', 'C02787', 'C01847']"
128,1.14.14.32,"['C00280', 'C00033', 'C03161', 'C01227', 'C01176', 'C03024', 'C05138']"
129,1.14.14.33,"['C00048', 'C21396', 'C00284', 'C01847', 'C21396']"
130,1.14.14.36,"['C04350', 'C03161', 'C03004', 'C15503', 'C00082', 'C03024', 'C03004', 'C15503']"
131,1.14.14.37,"['C03742', 'C03161', 'C04353', 'C03766', 'C04350', 'C03024', 'C04353', 'C03766']"
132,1.14.14.38,"['C03219', 'C03161', 'C20313', 'C20314', 'C00183', 'C03024', 'C20313', 'C20314']"
133,1.14.14.39,"['C03161', 'C20310', 'C20311', 'C00407', 'C03024', 'C20310', 'C20311']"
134,1.14.14.40,"['C19714', 'C03161', 'C19712', 'C19715', 'C00079', 'C03024', 'C19712', 'C19715']"
135,1.14.14.41,"['C18796', 'C03161', 'C20312', 'C21525', 'C02659', 'C20315', 'C02420', 'C19491', 'C03024', 'C20312', 'C21525', 'C03219', 'C20315', 'C02420']"
136,1.14.14.42,"['C21535', 'C03161', 'C21536', 'C21537', 'C21534', 'C03024', 'C21536', 'C21537']"
137,1.14.14.43,"['C21539', 'C03161', 'C21538', 'C21535', 'C03024', 'C00051', 'C21538']"
138,1.14.14.44,"['C00561', 'C03161', 'C16075', 'C16074', 'C19714', 'C03024', 'C16075', 'C16074']"
139,1.14.14.45,"['C21620', 'C03161', 'C17204', 'C21622', 'C21623', 'C03024', 'C00051', 'C17204', 'C19714', 'C21623']"
140,1.14.14.46,"['C19845', 'C15596', 'C20683']"
141,1.14.14.47,"['C00327', 'C00533', 'C05933', 'C00062', 'C05933']"
142,1.14.14.49,"['C21697', 'C03161', 'C21699', 'C21696', 'C03024', 'C21699']"
143,1.14.14.50,"['C21678', 'C03161', 'C21683', 'C11675', 'C03024', 'C09244']"
144,1.14.14.57,"['C15516', 'C03161', 'C15517', 'C05465', 'C03024', 'C03990']"
145,1.14.14.69,"['C21826', 'C03161', 'C21827', 'C21828', 'C21829', 'C18226', 'C03024', 'C21827', 'C21828']"
146,1.14.14.71,"['C21841', 'C03161', 'C21842', 'C19819', 'C03024', 'C21842']"
147,1.14.14.73,"['C02809', 'C03161', 'C21882', 'C01779', 'C03024', 'C21876']"
148,1.14.14.76,"['C21831', 'C03161', 'C20146', 'C20145', 'C03024', 'C20146']"
149,1.14.14.81,"['C15609', 'C03161', 'C15204', 'C00766', 'C03024', 'C15204']"
150,1.14.14.84,"['C20221', 'C03161', 'C04433', 'C03985', 'C03024', 'C04433']"
151,1.14.14.86,"['C11874', 'C03161', 'C11872', 'C11873', 'C06090', 'C03024', 'C11872', 'C11873']"
152,1.14.14.87,"['C15567', 'C03161', 'C12631', 'C09762', 'C03024', 'C00509']"
153,1.14.14.95,"['C19678', 'C03161', 'C19676', 'C19677', 'C16141', 'C03024', 'C19676', 'C19677']"
154,1.14.14.107,"['C11857', 'C03161', 'C11875', 'C06093', 'C11874', 'C03024', 'C11875', 'C06093']"
155,1.14.14.111,"['C20149', 'C03161', 'C20147', 'C20148', 'C18225', 'C03024', 'C20147', 'C20148']"
156,1.14.14.114,"['C20309', 'C03161', 'C20307', 'C20308', 'C16028', 'C03024', 'C20307', 'C20308']"
157,1.14.14.115,"['C02283', 'C03161', 'C20510', 'C20511', 'C19943', 'C03024', 'C20510', 'C20511']"
158,1.14.14.116,"['C20500', 'C03161', 'C20501', 'C20499', 'C03024']"
159,1.14.14.117,"['C06800', 'C03161', 'C00132', 'C16753', 'C03686', 'C03024', 'C03944']"
160,1.14.14.124,"['C20853', 'C03161', 'C20852', 'C20851', 'C03024', 'C20852']"
161,1.14.14.126,"['C17148', 'C03161', 'C20945', 'C20946', 'C08616', 'C03024', 'C20945', 'C20946']"
162,1.14.14.129,"['C21005', 'C03161', 'C21006', 'C00510', 'C03024', 'C02050']"
163,1.14.14.134,"['C19732', 'C03161', 'C08980', 'C08616', 'C03024', 'C19733']"
164,1.14.14.135,"['C03161', 'C15511', 'C15509', 'C03024', 'C15510']"
165,1.14.14.145,"['C06087', 'C03161', 'C20329', 'C11887', 'C11882', 'C03024', 'C20329', 'C11887']"
166,1.14.14.147,"['C15801', 'C03161', 'C15800', 'C16251', 'C03024', 'C15797']"
167,1.14.14.150,"['C09382', 'C03161', 'C21922', 'C19678', 'C03024', 'C21922']"
168,1.14.14.151,"['C09737', 'C03161', 'C19711', 'C12142', 'C03024', 'C19711']"
169,1.14.14.152,"['C19943', 'C03161', 'C19942', 'C08616', 'C03024', 'C19942']"
170,1.14.14.154,"['C21919', 'C00058', 'C03161', 'C21920', 'C21921', 'C21918', 'C03024', 'C21921']"
171,1.14.14.156,"['C02937', 'C03161', 'C19716', 'C19717', 'C00078', 'C03024', 'C19716', 'C19717']"
172,1.14.14.158,"['C15981', 'C08601', 'C05433', 'C08590']"
173,1.14.14.159,"['C22009', 'C03161', 'C22010', 'C22008', 'C03024', 'C22009']"
174,1.14.14.160,"['C22011', 'C03161', 'C22012', 'C22013', 'C19752', 'C03024', 'C22013']"
175,1.14.14.161,"['C20789', 'C03161', 'C22014', 'C06070', 'C09804', 'C03024', 'C22014', 'C06070']"
176,1.14.14.169,"['C09440', 'C03161', 'C22050', 'C22049', 'C03024', 'C22050']"
177,1.14.14.170,"['C22054', 'C03161', 'C22051', 'C19678', 'C03024', 'C22051']"
178,1.14.15.6,"['C01953', 'C02373', 'C00667', 'C05502', 'C00187', 'C00662', 'C05502']"
179,1.14.15.9,"['C15903', 'C00139', 'C15884', 'C15885', 'C15900', 'C00138', 'C15881', 'C15884']"
180,1.14.15.15,"['C00667', 'C05454', 'C00662']"
181,1.14.15.16,"['C18231', 'C00667', 'C07712', 'C01673', 'C00662', 'C01561']"
182,1.14.15.17,"['C18022', 'C00139', 'C21192', 'C18021', 'C00138', 'C21192']"
183,1.14.15.18,"['C01673', 'C00667', 'C18231', 'C01561', 'C00662', 'C07712']"
184,1.14.15.21,"['C08614', 'C00139', 'C08579', 'C06098', 'C00138', 'C08579']"
185,1.14.15.22,"['C01561', 'C00139', 'C01673', 'C05443', 'C00138', 'C01561']"
186,1.14.15.24,"['C06098', 'C00139', 'C08591', 'C02094', 'C00138', 'C08591']"
187,1.14.15.26,"['C00556', 'C00139', 'C06757', 'C07216', 'C01455', 'C00138', 'C06756', 'C07208']"
188,1.14.15.28,"['C20839', 'C21303', 'C21305', 'C00599', 'C21303', 'C21305']"
189,1.14.15.29,"['C21076', 'C00139', 'C20143', 'C21304', 'C00599', 'C00138', 'C20143', 'C21304']"
190,1.14.15.32,"['C19939', 'C00139', 'C19938', 'C01841', 'C00138', 'C19938']"
191,1.14.15.33,"['C11999', 'C00139', 'C20739', 'C11996', 'C11995', 'C20741', 'C11998', 'C00138', 'C11994']"
192,1.14.18.1,"['C00822', 'C00355', 'C00082', 'C00355']"
193,1.14.18.9,"['C04840', 'C00996', 'C04814', 'C11509', 'C04530', 'C00999', 'C04814', 'C11509']"
194,1.14.19.3,"['C03035', 'C00996', 'C16163', 'C02050', 'C00999', 'C16162']"
195,1.14.19.4,"['C00996', 'C00999']"
196,1.14.19.6,"['C02050', 'C00996', 'C21000', 'C00510', 'C00999', 'C21072']"
197,1.14.19.12,"['C21530', 'C00996', 'C21532', 'C21529', 'C00999', 'C21531']"
198,1.14.19.29,"['C21024', 'C00996', 'C21025', 'C12145', 'C00999']"
199,1.14.19.30,"['C00996', 'C00999']"
200,1.14.19.31,"['C00996', 'C00999']"
201,1.14.19.32,"['C20996', 'C00996', 'C20997', 'C00154', 'C00999']"
202,1.14.19.33,"['C00996', 'C21529', 'C00999']"
203,1.14.19.34,"['C00996', 'C00999']"
204,1.14.19.35,"['C00139', 'C21531', 'C00138', 'C21529']"
205,1.14.19.36,"['C00139', 'C00138']"
206,1.14.19.37,"['C21082', 'C21083', 'C16180', 'C16179']"
207,1.14.19.38,"['C00996', 'C00999']"
208,1.14.19.44,"['C02249', 'C00996', 'C16165', 'C03595', 'C00999', 'C16164']"
209,1.14.19.47,"['C00996', 'C21531', 'C00999', 'C21529']"
210,1.14.19.50,"['C21406', 'C03161', 'C21405', 'C16702', 'C03024']"
211,1.14.19.52,"['C21721', 'C01326', 'C03161', 'C21722', 'C21719', 'C03024', 'C21722']"
212,1.14.19.55,"['C14521', 'C21850', 'C21852', 'C21853', 'C00156', 'C01324', 'C21850', 'C00230', 'C21853']"
213,1.14.19.56,['C00698']
214,1.14.19.57,['C01324']
215,1.14.19.59,"['C21866', 'C21867', 'C00078', 'C00698', 'C00525']"
216,1.14.19.63,"['C10522', 'C03161', 'C19727', 'C01562', 'C03024', 'C10520']"
