,entry,KEGG,PubChem,CID,SMILES
1233,1.6.3.5,C21423,328082966,24916816,C1C(=CC=CN1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N
1232,1.6.3.5,C21424,328082967,5288881,C1C=CC(=CN1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N
1236,1.7.1.16,C02720,5682,7518,C1=CC=C(C=C1)NO
1235,1.7.1.16,C06813,9032,7416,C1=CC=C(C=C1)[N+](=O)[O-]
1234,1.7.1.16,C06876,9093,11473,C1=CC=C(C=C1)N=O
269,1.7.2.6,C00088,3388,24529,N(=O)O
1080,1.7.2.6,C00126,3426,none,none
1084,1.7.2.6,C00125,3425,none,none
1237,1.7.2.6,C00192,3492,787,NO
375,1.7.2.6,C00533,3815,145068,[N]=O
1238,1.7.3.6,C00192,3492,787,NO
270,1.7.3.6,C00088,3388,24529,N(=O)O
1239,1.7.3.6,C20937,254741399,945,N=O
1085,1.7.3.6,C00125,3425,none,none
1081,1.7.3.6,C00126,3426,none,none
1243,1.8.4.11,C00343,3636,none,none
1241,1.8.4.11,C03023,5929,none,none
1240,1.8.4.11,C15999,47205310,10909908,C[S@](=O)CC[C@@H](C(=O)O)N
1245,1.8.4.11,C00342,3635,none,none
1012,1.8.4.11,C00073,3373,6137,CSCC[C@@H](C(=O)O)N
1242,1.8.4.11,C03895,6627,none,none
1247,1.8.99.5,C00283,3578,402,S
239,1.8.99.5,C00094,3394,1100,OS(=O)O
1253,2.1.1.107,C15527,17396519,11954200,C[C@@]\1([C@@H](C2=N/C1=C\C3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(C2)N5)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O
1254,2.1.1.107,C01051,4293,1179,C1C2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C1N5)CCC(=O)O)CC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O
1255,2.1.1.107,C02463,5480,5280516,C[C@@]\1([C@@H](/C/2=C/C3=N/C(=C\C4=C(C(=C(N4)CC5=C(C(=C(N5)/C=C1\N2)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O)/[C@H]([C@]3(C)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O
1256,2.1.1.110,C20445,163312182,21596453,COC1=C2C(=C3[C@@H]4CCO[C@@H]4OC3=C1)OC5=C(C2=O)C(=CC=C5)O
538,2.1.1.110,C03686,6461,104940,COC1=CC=CC2=C1C(=O)C3=C(C=C4C(=C3O2)[C@@H]5C=CO[C@@H]5O4)OC
545,2.1.1.110,C03944,6668,14608351,COC1=CC=CC2=C1C(=O)C3=C(C=C4C(=C3O2)[C@@H]5CCO[C@@H]5O4)OC
1257,2.1.1.110,C00961,4212,5280389,COC1=C2C(=C3[C@@H]4C=CO[C@@H]4OC3=C1)OC5=C(C2=O)C(=CC=C5)O
1258,2.1.1.132,C06408,8643,11953881,C[C@H]1C2=N[C@@](CC3=N/C(=C(\C4=N[C@@](C5[C@@H]([C@@](C1=N5)(C)CCC(=O)O)CC(=O)O)([C@@]([C@@H]4CCC(=O)O)(C)CC(=O)O)C)/C)/[C@@]([C@@H]3CCC(=O)O)(C)CC(=O)O)(C(=C2CCC(=O)O)C)C
1259,2.1.1.132,C06319,8555,5280916,C[C@@]12CC3=C([C@](C(=N3)/C=C\4/[C@H]([C@]([C@@](N4)(C5[C@@H]([C@@](C(=N5)CC(=N1)C(=C2CC(=O)O)CCC(=O)O)(C)CCC(=O)O)CC(=O)O)C)(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O)CCC(=O)O
1260,2.1.1.137,C07308,9516,2513,C[As](=O)(C)O
1261,2.1.1.137,C07295,9504,161491,C[As](O)O
1262,2.1.1.137,C06697,8922,544,[O-][As]([O-])[O-]
1263,2.1.1.137,C07294,9503,8948,C[As](=O)(O)O
1264,2.1.1.156,C01026,4271,673,CN(C)CC(=O)O
1175,2.1.1.156,C00037,3339,750,C(C(=O)O)N
1267,2.1.1.156,C00213,3513,1088,CNCC(=O)O
164,2.1.1.157,C00719,3985,247,C[N+](C)(C)CC(=O)[O-]
1268,2.1.1.157,C00213,3513,1088,CNCC(=O)O
1265,2.1.1.157,C01026,4271,673,CN(C)CC(=O)O
355,2.1.1.160,C13747,586336,4687,CN1C=NC2=C1C(=O)N(C(=O)N2)C
348,2.1.1.160,C07480,9683,5429,CN1C=NC2=C1C(=O)NC(=O)N2C
353,2.1.1.160,C07481,9684,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
358,2.1.1.160,C16353,47205661,68374,CN1C=NC2=C1C(=O)NC(=O)N2
165,2.1.1.162,C00719,3985,247,C[N+](C)(C)CC(=O)[O-]
1176,2.1.1.162,C00037,3339,750,C(C(=O)O)N
1266,2.1.1.162,C01026,4271,673,CN(C)CC(=O)O
1269,2.1.1.162,C00213,3513,1088,CNCC(=O)O
1275,2.1.1.169,C10192,12378,5281701,C1=C(C=C(C(=C1O)O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
1272,2.1.1.169,C19807,135626274,5379265,COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
1273,2.1.1.169,C10193,12379,5281702,COC1=CC(=CC(=C1O)OC)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
1270,2.1.1.169,C19739,135626206,11267045,COC1=CC(=CC(=C1O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
1271,2.1.1.175,C19739,135626206,11267045,COC1=CC(=CC(=C1O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
1276,2.1.1.175,C10192,12378,5281701,C1=C(C=C(C(=C1O)O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
1274,2.1.1.175,C10193,12379,5281702,COC1=CC(=CC(=C1O)OC)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
1013,2.1.1.192,C00073,3373,6137,CSCC[C@@H](C(=O)O)N
1002,2.1.1.192,C05198,7603,439182,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O
1277,2.1.1.240,C20154,135626614,5473050,COC1=CC(=CC(=C1)O)/C=C/C2=CC=C(C=C2)O
1279,2.1.1.240,C10287,12473,5281727,COC1=CC(=CC(=C1)/C=C/C2=CC=C(C=C2)O)OC
1278,2.1.1.240,C03582,6374,445154,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O
1281,2.1.1.251,C03576,6368,598,C(CS(=O)(=O)O)S
1280,2.1.1.251,C03920,6649,893,CSCCS(=O)(=O)O
1283,2.1.1.251,C00409,3699,878,CS
1248,2.1.1.251,C00283,3578,402,S
1286,2.1.1.254,C06616,8842,83933,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
1287,2.1.1.254,C06653,8878,9918244,CC[C@@H]1[C@@H]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)C
1288,2.1.1.254,C01912,5020,12560,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
1289,2.1.1.254,C06633,8859,24755489,CC[C@@H]1[C@@H]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)C
1293,2.1.1.262,C20412,163312149,12133206,CC(C(=C)C)CC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC(C(=C)C)C)\C)\C)/C)/C
1290,2.1.1.262,C20411,163312148,70679146,CC(CC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)/C)/C)C(=C)C
1291,2.1.1.262,C00751,4013,638072,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C
1294,2.1.1.263,C20434,163312171,71448997,C[C@H](CC/C=C(\C)/CCC=C(C)C)/C=C/C(C)(CC/C=C(\C)/CCC(C)C(=C)C)C=C
1295,2.1.1.263,C20433,163312170,71448996,C[C@H](CC/C=C(\C)/CCC(C)C(=C)C)/C=C/C(C)(CC/C=C(\C)/CCC=C(C)C)C=C
1296,2.1.1.263,C20435,163312172,71448998,C[C@H](CC/C=C(\C)/CCC(C)C(=C)C)/C=C/C(C)(CC/C=C(\C)/CCC(C)C(=C)C)C=C
1297,2.1.1.263,C20432,163312169,14274986,C[C@H](CC/C=C(\C)/CCC=C(C)C)/C=C/C(C)(CC/C=C(\C)/CCC=C(C)C)C=C
1298,2.1.1.267,C02790,5741,none,none
1302,2.1.1.279,C10478,12661,637776,C/C=C/C1=CC(=C(C=C1)OC)OC
1301,2.1.1.279,C10469,12652,853433,C/C=C/C1=CC(=C(C=C1)O)OC
1300,2.1.1.279,C10428,12613,637563,C/C=C/C1=CC=C(C=C1)OC
1299,2.1.1.279,C20464,163312201,5474441,C/C=C/C1=CC=C(C=C1)O
1307,2.1.1.291,C05178,7589,440586,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC(=C(C=C3)OC)O)O)OC
1305,2.1.1.291,C20712,254741181,821396,CN1CCC2=CC(=C(C=C2[C@@H]1CC3=CC(=C(C=C3)OC)O)OC)OC
1303,2.1.1.291,C02105,5187,439653,CN1CCC2=CC(=C(C=C2[C@@H]1CC3=CC(=C(C=C3)OC)O)O)OC
1306,2.1.1.291,C09555,11746,442304,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC(=C(C=C3)OC)O)OC)OC
1310,2.1.1.295,C16695,51091017,6440941,CC1=C(C=C(C(=C1C)O)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O
1313,2.1.1.295,C17570,96023915,44237185,CC1=CC(=CC(=C1O)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O
1308,2.1.1.295,C20737,254741205,14759579,CC1=CC(=CC(=C1O)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O
1311,2.1.1.295,C15882,47205202,71768135,CC1=CC(=CC(=C1O)C/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O
1314,2.1.1.316,C21164,313369424,119057489,CC1=C(C2=C([C@@H]([C@@]3(N2C[C@H]4[C@@H]3N4)O)COC(=O)N)C(=O)C1=O)O
1317,2.1.1.316,C21162,313369422,101651137,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@H]2COC(=O)N)O)N4)OC
1315,2.1.1.316,C21163,313369423,11727393,CC1=C(C2=C([C@H]([C@@]3(N2C[C@H]4[C@@H]3N4)OC)COC(=O)N)C(=O)C1=O)O
1316,2.1.1.316,C21161,313369421,19972,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)OC
1321,2.1.1.319,C00613,3887,none,none
1318,2.1.1.319,C21188,315431311,none,none
1319,2.1.1.319,C04143,6828,none,none
1325,2.1.1.320,C21189,315431312,none,none
1322,2.1.1.320,C00613,3887,none,none
1320,2.1.1.320,C04143,6828,none,none
1328,2.1.1.324,C18033,96024253,46174039,C[C@@H]1[C@H](CC[C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)N
1327,2.1.1.324,C18034,96024254,46174040,C[C@@H]1[C@H](CC[C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)N(C)C
1326,2.1.1.324,C21395,328082938,90657345,C[C@@H]1[C@H](CC[C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)NC
1332,2.1.1.325,C16502,47205798,5275507,CC(=CCC/C(=C/CC/C(=C/C(=O)O)/C)/C)C
1329,2.1.1.325,C16503,47205799,5275508,CC(=CCC/C(=C/CC/C(=C/C(=O)OC)/C)/C)C
1330,2.1.1.325,C16504,47205800,23724771,C/C(=C\CC/C(=C/C(=O)O)/C)/CC[C@@H]1C(O1)(C)C
1333,2.1.1.325,C09694,11884,5281523,C/C(=C\CC/C(=C/C(=O)OC)/C)/CC[C@@H]1C(O1)(C)C
1337,2.1.1.332,C21427,329728050,124201673,CCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5[C@H]([C@@H](C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)O)CC4=O)CC)C.[Mg+2]
1336,2.1.1.332,C21428,329728051,124201675,CCCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5[C@H]([C@@H](C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)O)CC4=O)CC)C.[Mg+2]
1335,2.1.1.332,C21429,329728052,124201677,CCC1=C2C=C3C(=C(C(=N3)C=C4C(=C(C(=CC5=NC(=C6CC(=O)C1=C6[N-]2)[C@H]([C@@H]5C)CCC(=O)O)[N-]4)C)C=C)C)CC(C)C.[Mg+2]
1340,2.1.1.335,C02811,5761,54675758,CC1=C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C
1339,2.1.1.335,C06654,8879,54675782,CC1=C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N
1338,2.1.1.335,C21436,329728059,122198285,CC1=C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)NC
1342,2.1.1.337,C09581,11772,73337,C[N+]1(CCC2=CC(=C(C3=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)O)OC)C
1341,2.1.1.337,C21491,333497474,167718,C[N+]1(CCC2=CC(=C(C=C2[C@@H]1CC3=CC(=C(C=C3)OC)O)O)OC)C
1304,2.1.1.337,C02105,5187,439653,CN1CCC2=CC(=C(C=C2[C@@H]1CC3=CC(=C(C=C3)OC)O)O)OC
1343,2.1.1.337,C17591,96023936,160500,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)O)OC
1345,2.1.1.340,C21601,340125659,472107,C1=CC=C2C(=C1)C(=CN2)CN
1344,2.1.1.340,C21602,340125660,96388,CNCC1=CNC2=CC=CC=C21
1346,2.1.1.340,C08304,10502,6890,CN(C)CC1=CNC2=CC=CC=C21
1348,2.1.1.341,C00101,3401,135398650,C1[C@@H](NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
919,2.1.1.341,C00230,3529,72,C1=CC(=C(C=C1C(=O)O)O)O
1350,2.1.1.341,C00440,3729,135398561,CN1[C@H](CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
1347,2.1.1.341,C05616,7935,19829,COC1=CC(=CC(=C1O)O)C(=O)O
1351,2.1.1.341,C01424,4609,370,C1=C(C=C(C(=C1O)O)O)C(=O)O
1352,2.1.1.341,C06672,8897,8468,COC1=C(C=CC(=C1)C(=O)O)O
1353,2.1.1.343,C21646,350078223,193403,CC1=CC2=C(C=C1N)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O
1354,2.1.1.343,C21648,350078225,46174770,CC1=CC2=C(C=C1NC)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O
1355,2.1.1.343,C21647,350078224,49867612,CC1=CC2=C(C=C1N(C)C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O
1356,2.1.1.344,C21672,350078249,none,none
1357,2.1.1.344,C21673,350078250,none,none
1358,2.1.1.344,C21675,350078252,none,none
1359,2.1.1.344,C21674,350078251,none,none
1360,2.1.1.345,C21779,354339122,161359,CNCCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O
1362,2.1.1.345,C21778,354339121,9795063,C1=CC2=C(C(=C1)OP(=O)(O)O)C(=CN2)CCN
1361,2.1.1.345,C07576,9779,10624,CN(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O
1365,2.1.1.349,C16789,96023313,66541,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C
1364,2.1.1.349,C21956,376218989,5381273,C1=NC2=C(NC(=O)NC2=O)N=N1
1363,2.1.1.349,C21957,376218990,5351216,CN1C(=O)C2=C(NC1=O)N=NC=N2
1367,2.1.1.350,C05818,8113,5280838,CC(=CCC/C(=C/CC1=CC(=O)C2=CC=CC=C2C1=O)/C)C
1369,2.1.1.350,C00828,4086,5280374,CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCC=C(C)C
1003,2.1.1.350,C05198,7603,439182,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O
1014,2.1.1.350,C00073,3373,6137,CSCC[C@@H](C(=O)O)N
1371,2.1.1.44,C05575,7901,440727,C[N+](C)(C)[C@@H](CC1=CN=CN1)C(=O)O
1370,2.1.1.44,C04259,6924,440274,CN(C)[C@@H](CC1=CN=CN1)C(=O)O
1372,2.1.1.44,C00135,3435,6274,C1=C(NC=N1)C[C@@H](C(=O)O)N
1377,2.1.1.63,C00039,3341,none,none
1383,2.1.1.63,C03800,6549,none,none
1376,2.1.1.63,C04250,6915,none,none
1373,2.1.1.63,C02743,5703,none,none
1384,2.1.1.69,C00758,4020,5280371,C1=CC(=O)OC2=CC3=C(C=CO3)C(=C21)O
1385,2.1.1.69,C01557,4715,2355,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3
1386,2.1.1.70,C01864,4978,4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
1387,2.1.1.70,C00841,4098,65090,C1=CC(=O)OC2=C(C3=C(C=CO3)C=C21)O
1399,2.1.1.95,C14152,7846964,8989,CC1=CC(=C(C2=C1O[C@](CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)O
1398,2.1.1.95,C14153,7846965,5282347,CC1=C(C(=C2CC[C@@](OC2=C1C)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)C)O
1395,2.1.1.95,C02483,5496,92729,CC1=C(C=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O
1394,2.1.1.95,C02477,5492,14985,CC1=C(C(=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)O
1392,2.1.1.95,C14156,7846968,5282350,CC1=C2C(=CC(=C1)O)CC[C@@](O2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C
1388,2.1.1.95,C14155,7846967,5282349,CC1=C(C=C2CC[C@@](OC2=C1C)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O
1397,2.1.1.95,C14154,7846966,5282348,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)C)O
1390,2.1.1.95,C14151,7846963,92094,CC1=C2C(=CC(=C1)O)CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
1400,2.1.1.98,C01573,4730,none,none
1401,2.1.1.98,C16720,96023244,none,none
1402,2.1.1.98,C04441,7070,none,none
1403,2.1.1.98,C04692,7272,none,none
934,2.1.5.1,C10882,13065,72307,C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6
1349,2.1.5.1,C00101,3401,135398650,C1[C@@H](NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
1406,2.1.5.1,C00143,3443,135398652,C1[C@@H]2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O
1030,2.2.1.11,C00546,3827,880,CC(=O)C=O
104,2.2.1.11,C00577,3856,79014,C([C@H](C=O)O)O
1410,2.2.1.11,C00118,3418,439168,C([C@H](C=O)O)OP(=O)(O)O
1409,2.2.1.11,C01094,4329,439394,C([C@@H]1[C@H]([C@@H](C(O1)(COP(=O)(O)O)O)O)O)O
1408,2.2.1.11,C00354,3647,172313,C([C@@H]1[C@H]([C@@H](C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O
1407,2.2.1.11,C16848,96023372,25137933,CC(=O)[C@H]([C@@H](C(=O)COP(=O)(O)O)O)O
1414,2.3.1.111,C02557,5558,123909,CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
1420,2.3.1.156,C07351,9558,5326317,CC(C)C(=O)C1=C(C=C(C=C1O)O)O
1421,2.3.1.156,C02939,5858,165435,CC(C)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
1415,2.3.1.156,C07350,9557,441269,CC(C)CC(=O)C1=C(C=C(C=C1O)O)O
1416,2.3.1.156,C00083,3383,644066,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O
1417,2.3.1.218,C00083,3383,644066,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O
1422,2.3.1.218,C17741,96024068,46173442,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)/C=C/C4=CC(=C(C=C4)O)OC)O
1424,2.3.1.218,C17740,96024067,70679033,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)/C=C/C4=CC=C(C=C4)O)O
1071,2.3.1.218,C00406,3696,11966129,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)/C=C/C4=CC(=C(C=C4)O)OC)O
1067,2.3.1.218,C00223,3523,6440013,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)/C=C/C4=CC=C(C=C4)O)O
1427,2.3.1.219,C17743,96024070,5324473,C1=CC(=CC=C1/C=C/C(=C/C(=O)/C=C/C2=CC=C(C=C2)O)/O)O
1423,2.3.1.219,C17741,96024068,46173442,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)/C=C/C4=CC(=C(C=C4)O)OC)O
1425,2.3.1.219,C17740,96024067,70679033,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)/C=C/C4=CC=C(C=C4)O)O
1426,2.3.1.219,C17742,96024069,5324476,COC1=C(C=CC(=C1)/C=C/C(=C/C(=O)/C=C/C2=CC=C(C=C2)O)/O)O
1068,2.3.1.219,C00223,3523,6440013,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)/C=C/C4=CC=C(C=C4)O)O
807,2.3.1.224,C00556,3836,244,C1=CC=C(C=C1)CO
1429,2.3.1.224,C15513,17396505,8785,CC(=O)OCC1=CC=CC=C1
1430,2.3.1.224,C00024,3326,444493,CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
1437,2.3.1.224,C12299,582690,5282110,CC(=O)OC/C=C/C1=CC=CC=C1
1428,2.3.1.224,C02394,5428,5315892,C1=CC=C(C=C1)/C=C/CO
1439,2.3.1.230,C21453,329728076,20198297,C1=CC=C(C(=C1)C(=O)CC(=O)O)N
1440,2.3.1.230,C01944,5048,445344,CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
1441,2.3.1.230,C20643,172232367,164974,CCCCCCCC1=CC(=O)C2=CC=CC=C2N1
1438,2.3.1.230,C21490,333497473,121596246,CCCCCCCC(=O)CC(=O)C1=CC=CC=C1N
1445,2.3.1.251,C03889,6622,none,none
1446,2.3.1.251,C21193,315431316,none,none
