,entry,KEGG,PubChem,CID,SMILES
411,1.21.98.3,C11831,13995,443429,CC1=C(C2=CC3=NC(=CC4=C(C5=C([N-]4)C(=C6C(=C(C(=N6)C=C1[N-]2)C)CCC(=O)O)[C@H](C5=O)C(=O)OC)C)C(=C3C)C=C)C=C.[Mg+2]
1001,1.21.98.3,C05198,7603,439182,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O
1011,1.21.98.3,C00073,3373,6137,CSCC[C@@H](C(=O)O)N
413,1.21.98.3,C04536,7143,440377,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)CCC(=O)O)CCC(=O)OC)C)C(=C3C)C=C)C=C.[Mg+2]
798,1.23.5.1,C08614,10807,448438,C/C(=C\C=C\C=C(\C=C\C=C(\C=C\[C@@]12O[C@@]1(C[C@H](CC2(C)C)O)C)/C)/C)/C=C/C=C(/C=C/[C@@]34O[C@@]3(C[C@H](CC4(C)C)O)C)\C
795,1.23.5.1,C08579,10772,5281223,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/[C@]23[C@](O2)(C[C@H](CC3(C)C)O)C)/C)/C
183,1.23.5.1,C00072,3372,54670067,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
281,1.23.5.1,C06098,8363,5280899,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C[C@H](CC2(C)C)O)C)\C)\C)/C)/C
201,1.23.5.1,C05422,7786,440667,C([C@@H]([C@@H]1C(=O)C(=O)C(=O)O1)O)O
960,1.3.1.1,C00106,3406,1174,C1=CNC(=O)NC1=O
1047,1.3.1.1,C00429,3718,649,C1CNC(=O)NC1=O
1046,1.3.1.1,C00906,4161,93556,CC1CNC(=O)NC1=O
956,1.3.1.1,C00178,3478,1135,CC1=CNC(=O)NC1=O
1048,1.3.1.107,C05194,7599,440589,CN1CC2=C3C(=CC(=C2C4=C1C5=CC6=C(C=C5C=C4)OCO6)OC)OCO3
1050,1.3.1.107,C05191,7596,124069,CN1CC2=C(C=CC3=C2OCO3)C4=C1C5=CC6=C(C=C5C=C4)OCO6
1052,1.3.1.107,C06162,8418,5154,C[N+]1=C2C(=C3C=CC4=C(C3=C1)OCO4)C=CC5=CC6=C(C=C52)OCO6
1054,1.3.1.107,C06327,8563,161243,C[N+]1=CC2=C3C(=CC(=C2C4=C1C5=CC6=C(C=C5C=C4)OCO6)OC)OCO3
944,1.3.1.112,C21381,319902611,414159,C1=CC=C(C=C1)C2=[O+]C3=CC=CC=C3C=C2O
1056,1.3.1.112,C21379,319902609,7309334,C1[C@H]([C@@H](OC2=CC=CC=C21)C3=CC=CC=C3)O
1057,1.3.1.112,C21380,319902610,66692593,C1[C@@H]([C@@H](OC2=CC=CC=C21)C3=CC=CC=C3)O
1064,1.3.1.115,C21471,329970423,122706221,C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)[C@H]4CC[C@@H]5[C@@]4(CC[C@H]6[C@H]5[C@@H](CC7=CC(=O)CC[C@]67C)O)C
1065,1.3.1.115,C21469,329970421,121596241,C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)[C@H]4CC[C@@H]5[C@@]4([C@H](C[C@H]6[C@H]5[C@@H](CC7=CC(=O)CC[C@]67C)O)O)C
1070,1.3.1.117,C00406,3696,11966129,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)/C=C/C4=CC(=C(C=C4)O)OC)O
